0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y
251.013409,1062.182331,249.229315,1062.182331,249.229315,1062.182331,249.229315,1062.182331
247.954962,1062.182331,245.915997,1062.182331,246.680609,1062.182331,247.190350,1062.182331
244.896514,1062.182331,241.583196,1062.182331,243.622161,1062.182331,242.857549,1062.182331
243.622161,1062.182331,240.053972,1062.182331,240.818584,1062.182331,240.818584,1062.182331
239.034490,1062.182331,238.015007,1062.182331,237.760136,1062.182331,238.269878,1062.182331
236.995525,1062.182331,234.191948,1062.182331,234.191948,1062.182331,234.701689,1062.182331
234.191948,1062.182331,231.643241,1062.182331,232.152983,1062.182331,232.662724,1062.182331
230.623759,1062.182331,229.604276,1062.182331,229.604276,1062.182331,228.329923,1062.182331
228.839664,1062.182331,225.526346,1062.182331,226.036088,1062.182331,226.290958,1062.182331
225.271476,1062.182331,222.722769,1062.182331,223.742252,1062.182331,223.997122,1062.182331
222.722769,1062.182331,220.683804,1062.182331,220.683804,1062.182331,220.428934,1062.182331
219.409451,1062.182331,217.370486,1062.182331,217.370486,1062.182331,218.135098,1062.182331
217.115615,1062.182331,214.312039,1062.182331,214.566909,1062.182331,214.566909,1062.182331
214.821780,1062.182331,212.273074,1062.182331,212.527944,1062.182331,212.273074,1062.182331
210.488979,1062.182331,209.214626,1062.182331,209.214626,1062.182331,210.234108,1062.182331
208.704885,1062.182331,206.156178,1062.182331,206.411049,1062.182331,206.411049,1062.182331
205.901308,1062.182331,203.862343,1062.182331,204.626955,1062.182331,204.372084,1062.182331
202.842860,1062.182331,200.803895,1062.182331,200.803895,1062.182331,201.568507,1062.182331
200.803895,1062.182331,197.745448,1062.182331,198.255189,1062.182331,198.255189,1062.182331
197.490577,1062.182331,195.451612,1062.182331,196.471094,1062.182331,196.471094,1062.182331
194.177259,1062.182331,193.412647,1062.182331,193.412647,1062.182331,193.412647,1062.182331
192.138294,1062.182331,189.079846,1062.182331,189.844458,1062.182331,190.099329,1062.182331
188.824976,1062.182331,186.786011,1062.182331,188.060364,1062.182331,187.295752,1062.182331
186.531140,1062.182331,184.492175,1062.182331,184.747046,1062.182331,185.001916,1062.182331
182.962951,1062.182331,181.178857,1062.182331,181.943469,1062.182331,182.453210,1062.182331
181.178857,1062.182331,178.375280,1062.182331,179.649633,1062.182331,179.139892,1062.182331
178.375280,1062.182331,177.100927,1062.182331,176.591185,1062.182331,176.846056,1062.182331
175.061962,1062.182331,173.022997,1062.182331,173.022997,1062.182331,174.297350,1062.182331
173.532738,1062.182331,169.454808,1062.182331,170.729161,1062.182331,170.474290,1062.182331
169.454808,1062.182331,167.925584,1062.182331,168.435325,1062.182331,168.690196,1062.182331
166.906101,1062.182331,165.122007,1062.182331,165.631748,1062.182331,165.631748,1062.182331
165.122007,1062.182331,161.808689,1062.182331,162.573301,1062.182331,162.318430,1062.182331
161.553818,1062.182331,160.279465,1062.182331,160.534336,1062.182331,161.044077,1062.182331
159.769724,1062.182331,157.221018,1062.182331,157.221018,1062.182331,157.985629,1062.182331
156.456406,1062.182331,153.397958,1062.182331,154.417441,1062.182331,154.162570,1062.182331
153.907699,1062.182331,151.868734,1062.182331,152.378476,1062.182331,152.633346,1062.182331
151.104122,1062.182331,149.065157,1062.182331,149.065157,1062.182331,149.574899,1062.182331
147.790804,1062.182331,145.242098,1062.182331,146.516451,1062.182331,146.516451,1062.182331
145.751839,1062.182331,143.967745,1062.182331,144.987227,1062.182331,143.967745,1062.182331
142.693392,1062.182331,140.909297,1062.182331,141.164168,1062.182331,141.164168,1062.182331
139.889815,1062.182331,138.360591,1062.182331,138.360591,1062.182331,139.634944,1062.182331
137.850850,1062.182331,135.557014,1062.182331,136.576497,1062.182331,135.811885,1062.182331
134.792402,1062.182331,133.263178,1062.182331,133.518049,1062.182331,133.518049,1062.182331
132.498566,1062.182331,129.694990,1062.182331,130.204731,1062.182331,131.479084,1062.182331
130.459601,1062.182331,127.146283,1062.182331,128.675507,1062.182331,127.401154,1062.182331
126.636542,1062.182331,124.597577,1062.182331,125.107318,1062.182331,125.617059,1062.182331
124.342706,1062.182331,121.539129,1062.182331,122.303741,1062.182331,123.068353,1062.182331
121.794000,1062.182331,119.500164,1062.182331,120.519647,1062.182331,119.500164,1062.182331
118.735552,1062.182331,116.441717,1062.182331,116.951458,1062.182331,117.716070,1062.182331
116.696587,1062.182331,114.147881,1062.182331,114.402752,1062.182331,114.657622,1062.182331
113.638140,1062.182331,111.089434,1062.182331,111.599175,1062.182331,112.108916,1062.182331
110.324822,1062.182331,108.795598,1062.182331,109.560210,1062.182331,110.069951,1062.182331
107.521245,1062.182331,106.501762,1062.182331,106.501762,1062.182331,106.501762,1062.182331
104.972538,1062.182331,103.698185,1062.182331,103.698185,1062.182331,104.207927,1062.182331
103.188444,1062.182331,101.149479,1062.182331,100.894608,1062.182331,101.914091,1062.182331
100.129996,1062.182331,98.345902,1062.182331,98.600773,1062.182331,98.345902,1062.182331
97.836161,1062.182331,95.032584,1062.182331,95.542325,1062.182331,95.542325,1062.182331
94.522843,1062.182331,93.248489,1062.182331,93.248489,1062.182331,93.503360,1062.182331
